,sin,pwm,param_a
0,0.0,1.0,1
1,0.0031415874858795635,1.0,1
2,0.006283143965558951,1.0,1
3,0.009424638433144006,1.0,1
4,0.012566039883352607,1.0,1
5,0.015707317311820675,1.0,1
6,0.018848439715408175,1.0,1
7,0.021989376092505106,1.0,1
8,0.02513009544333748,1.0,1
9,0.028270566770273255,1.0,1
10,0.03141075907812829,1.0,1
11,0.034550641374472266,1.0,1
12,0.03769018266993454,1.0,1
13,0.04082935197851,1.0,1
14,0.0439681183178649,1.0,1
15,0.04710645070964266,1.0,1
16,0.050244318179769556,1.0,1
17,0.053381689758760474,1.0,1
18,0.056518534482024534,1.0,1
19,0.0596548213901707,1.0,1
20,0.06279051952931337,1.0,1
21,0.06592559795137785,1.0,1
22,0.06906002571440578,1.0,1
23,0.0721937718828606,1.0,1
24,0.07532680552793272,1.0,1
25,0.07845909572784494,1.0,1
26,0.08159061156815756,1.0,1
27,0.08472132214207344,1.0,1
28,0.08785119655074317,1.0,1
29,0.09098020390356992,1.0,1
30,0.09410831331851431,1.0,1
31,0.09723549392239932,1.0,1
32,0.1003617148512149,1.0,1
33,0.10348694525042253,1.0,1
34,0.10661115427525991,1.0,1
35,0.10973431109104528,1.0,1
36,0.1128563848734817,1.0,1
37,0.11597734480896137,1.0,1
38,0.11909716009486973,-1.0,1
39,0.12221579993988943,-1.0,1
40,0.12533323356430426,-1.0,1
41,0.12844943020030286,-1.0,1
42,0.1315643590922825,-1.0,1
43,0.1346779894971526,-1.0,1
44,0.13779029068463805,-1.0,1
45,0.14090123193758267,-1.0,1
46,0.14401078255225216,-1.0,1
47,0.14711891183863737,-1.0,1
48,0.15022558912075706,-1.0,1
49,0.15333078373696063,-1.0,1
50,0.15643446504023087,-1.0,1
51,0.1595366023984863,-1.0,1
52,0.1626371651948836,-1.0,1
53,0.1657361228281197,-1.0,1
54,0.16883344471273387,-1.0,1
55,0.17192910027940952,-1.0,1
56,0.17502305897527604,-1.0,1
57,0.17811529026421014,-1.0,1
58,0.18120576362713736,-1.0,1
59,0.18429444856233332,-1.0,1
60,0.1873813145857246,-1.0,1
61,0.19046633123118986,-1.0,1
62,0.19354946805086023,-1.0,1
63,0.19663069461542007,-1.0,1
64,0.19970998051440703,-1.0,1
65,0.2027872953565125,-1.0,1
66,0.20586260876988133,-1.0,1
67,0.2089358904024117,-1.0,1
68,0.21200710992205463,1.0,1
69,0.21507623701711337,1.0,1
70,0.21814324139654256,1.0,1
71,0.22120809279024714,1.0,1
72,0.2242707609493812,1.0,1
73,0.2273312156466464,1.0,1
74,0.23038942667659057,1.0,1
75,0.2334453638559054,1.0,1
76,0.23649899702372468,1.0,1
77,0.23955029604192182,1.0,1
78,0.2425992307954074,1.0,1
79,0.24564577119242634,1.0,1
80,0.2486898871648548,1.0,1
81,0.25173154866849706,1.0,1
82,0.25477072568338216,1.0,1
83,0.25780738821405985,1.0,1
84,0.26084150628989694,1.0,1
85,0.2638730499653729,1.0,1
86,0.26690198932037557,1.0,1
87,0.2699282944604964,1.0,1
88,0.27295193551732516,1.0,1
89,0.2759728826487457,1.0,1
90,0.2789911060392293,1.0,1
91,0.2820065759001294,1.0,1
92,0.2850192624699761,1.0,1
93,0.28802913601476915,1.0,1
94,0.2910361668282718,1.0,1
95,0.29404032523230395,1.0,1
96,0.2970415815770349,1.0,1
97,0.30003990624127624,1.0,1
98,0.30303526963277394,1.0,1
99,0.30602764218850076,1.0,1
100,0.3090169943749474,1.0,1
101,0.31200329668841487,1.0,1
102,0.3149865196553048,1.0,1
103,0.31796663383241097,1.0,1
104,0.32094360980720954,1.0,1
105,0.3239174181981494,1.0,1
106,0.32688802965494246,1.0,1
107,0.3298554148588529,1.0,1
108,0.3328195445229866,1.0,1
109,0.33578038939258065,1.0,1
110,0.33873792024529137,1.0,1
111,0.3416921078914833,1.0,1
112,0.34464292317451706,1.0,1
113,0.34759033697103703,1.0,1
114,0.350534320191259,1.0,1
115,0.35347484377925714,-1.0,1
116,0.35641187871325075,-1.0,1
117,0.35934539600589066,-1.0,1
118,0.3622753667045457,-1.0,1
119,0.3652017618915878,-1.0,1
120,0.3681245526846779,-1.0,1
121,0.371043710237051,-1.0,1
122,0.3739592057378004,-1.0,1
123,0.37687101041216264,-1.0,1
124,0.37977909552180106,-1.0,1
125,0.3826834323650898,-1.0,1
126,0.38558399227739654,-1.0,1
127,0.38848074663136606,-1.0,1
128,0.3913736668372024,-1.0,1
129,0.39426272434295095,-1.0,1
130,0.3971478906347806,-1.0,1
131,0.40002913723726474,-1.0,1
132,0.40290643571366264,-1.0,1
133,0.4057797576662,-1.0,1
134,0.40864907473634904,-1.0,1
135,0.4115143586051088,-1.0,1
136,0.41437558099328414,-1.0,1
137,0.4172327136617653,-1.0,1
138,0.42008572841180625,1.0,1
139,0.4229345970853033,1.0,1
140,0.4257792915650727,1.0,1
141,0.4286197837751284,1.0,1
142,0.431456045680959,1.0,1
143,0.43428804928980463,1.0,1
144,0.43711576665093294,1.0,1
145,0.4399391698559151,1.0,1
146,0.44275823103890144,1.0,1
147,0.4455729223768963,1.0,1
148,0.44838321609003223,1.0,1
149,0.451189084441845,1.0,1
150,0.45399049973954675,1.0,1
151,0.45678743433429947,1.0,1
152,0.4595798606214878,1.0,1
153,0.46236775104099176,1.0,1
154,0.4651510780774583,1.0,1
155,0.4679298142605734,1.0,1
156,0.4707039321653325,1.0,1
157,0.4734734044123121,1.0,1
158,0.47623820366793906,1.0,1
159,0.478998302644761,1.0,1
160,0.4817536741017153,1.0,1
161,0.4845042908443979,1.0,1
162,0.4872501257253323,1.0,1
163,0.48999115164423657,1.0,1
164,0.49272734154829156,1.0,1
165,0.4954586684324076,1.0,1
166,0.4981851053394908,1.0,1
167,0.5009066253607098,1.0,1
168,0.5036232016357608,1.0,1
169,0.5063348073531325,1.0,1
170,0.5090414157503713,1.0,1
171,0.5117430001143449,1.0,1
172,0.5144395337815064,1.0,1
173,0.5171309901381572,1.0,1
174,0.5198173426207096,1.0,1
175,0.5224985647159488,1.0,1
176,0.5251746299612956,1.0,1
177,0.5278455119450663,1.0,1
178,0.530511184306734,1.0,1
179,0.5331716207371886,1.0,1
180,0.5358267949789967,1.0,1
181,0.5384766808266601,1.0,1
182,0.5411212521268758,1.0,1
183,0.5437604827787924,1.0,1
184,0.5463943467342691,1.0,1
185,0.5490228179981318,1.0,1
186,0.5516458706284302,1.0,1
187,0.554263478736694,1.0,1
188,0.556875616488188,1.0,1
189,0.559482258102167,1.0,1
190,0.5620833778521306,1.0,1
191,0.564678950066077,1.0,1
192,0.5672689491267565,1.0,1
193,0.5698533494719238,1.0,1
194,0.5724321255945909,1.0,1
195,0.5750052520432786,1.0,1
196,0.5775727034222676,1.0,1
197,0.5801344543918494,1.0,1
198,0.5826904796685761,1.0,1
199,0.5852407540255101,-1.0,1
200,0.5877852522924731,-1.0,1
201,0.5903239493562945,-1.0,1
202,0.5928568201610592,-1.0,1
203,0.595383839708355,-1.0,1
204,0.5979049830575188,-1.0,1
205,0.600420225325884,-1.0,1
206,0.6029295416890247,-1.0,1
207,0.6054329073810014,-1.0,1
208,0.6079302976946055,-1.0,1
209,0.6104216879816026,-1.0,1
210,0.6129070536529764,-1.0,1
211,0.6153863701791714,-1.0,1
212,0.6178596130903343,-1.0,1
213,0.620326757976556,-1.0,1
214,0.6227877804881126,-1.0,1
215,0.6252426563357051,-1.0,1
216,0.6276913612907005,-1.0,1
217,0.6301338711853691,1.0,1
218,0.6325701619131244,1.0,1
219,0.6350002094287606,1.0,1
220,0.6374239897486896,1.0,1
221,0.6398414789511784,1.0,1
222,0.6422526531765844,1.0,1
223,0.6446574886275913,1.0,1
224,0.6470559615694442,1.0,1
225,0.6494480483301837,1.0,1
226,0.6518337253008788,1.0,1
227,0.6542129689358611,1.0,1
228,0.6565857557529565,1.0,1
229,0.658952062333717,1.0,1
230,0.6613118653236518,1.0,1
231,0.6636651414324585,1.0,1
232,0.6660118674342517,1.0,1
233,0.668352020167793,1.0,1
234,0.67068557653672,1.0,1
235,0.6730125135097733,1.0,1
236,0.6753328081210245,1.0,1
